"ICD-O-3 Hist/behav, malignant"	"Count"	"Column Percent"	"Cumulative Column Percent"
8000/3: Neoplasm, malignant	484	0.8%	0.8%
8001/3: Tumor cells, malignant	2	0.0%	0.8%
8002/3: Malignant tumor, small cell type	3	0.0%	0.8%
8003/3: Malignant tumor, giant cell type	15	0.0%	0.9%
8004/3: Malignant tumor, spindle cell type	9	0.0%	0.9%
8005/3: Malignant tumor, clear cell type	1	0.0%	0.9%
8800/3: Sarcoma, NOS	4,405	7.6%	8.4%
8801/3: Spindle cell sarcoma	1,771	3.0%	11.5%
8802/3: Giant cell sarcoma	1,846	3.2%	14.6%
8803/3: Small cell sarcoma	144	0.2%	14.9%
8804/3: Epithelioid sarcoma	584	1.0%	15.9%
8805/3: Undifferentiated sarcoma	465	0.8%	16.7%
8806/3: Desmoplastic small round cell tumor	132	0.2%	16.9%
8810/3: Fibrosarcoma, NOS	1,333	2.3%	19.2%
8811/3: Fibromyxosarcoma	1,648	2.8%	22.0%
8812/3: Periosteal fibrosarcoma	25	0.0%	22.1%
8813/3: Fascial fibrosarcoma	35	0.1%	22.1%
8815/3: Solitary fibrous tumor, malignant	145	0.2%	22.4%
8821/3: Aggressive fibromatosis, malignant	1	0.0%	22.4%
8822/3: Abdominal fibromatosis, malignant	1	0.0%	22.4%
8823/3: Desmoplastic fibrosarcoma	1	0.0%	22.4%
8825/3: Myofibroblastoma, malignant	46	0.1%	22.5%
8830/3: Malignant fibrous histiocytoma	8,065	13.8%	36.3%
8832/3: Dermatofibrosarcoma, NOS	1,446	2.5%	38.8%
8833/3: Pigmented dermatofibrosarcoma protuberans	35	0.1%	38.9%
8835/3: Malignant plexiform fibrohistiocytic tumor	3	0.0%	38.9%
8836/3: Malignant angiomatoid fibrous histiocytoma	8	0.0%	38.9%
8840/3: Myxosarcoma	283	0.5%	39.4%
8841/3: Angiomyxoma, malignant	1	0.0%	39.4%
8842/3: Ossifying fibromyxoid tumor, malignant	9	0.0%	39.4%
8850/3: Liposarcoma, NOS	1,827	3.1%	42.5%
8851/3: Liposarcoma, well differentiated	2,558	4.4%	46.9%
8852/3: Myxoid liposarcoma	2,407	4.1%	51.0%
8853/3: Round cell liposarcoma	251	0.4%	51.5%
8854/3: Pleomorphic liposarcoma	854	1.5%	52.9%
8855/3: Mixed liposarcoma	294	0.5%	53.4%
8857/3: Fibroblastic liposarcoma	11	0.0%	53.5%
8858/3: Dedifferentiated liposarcoma	893	1.5%	55.0%
8860/3: Angiomyoliposarcoma	3	0.0%	55.0%
8890/3: Leiomyosarcoma, NOS	6,194	10.6%	65.6%
8891/3: Epithelioid leiomyosarcoma	149	0.3%	65.9%
8893/3: Bizarre leiomyosarcoma	1	0.0%	65.9%
8894/3: Angiomyosarcoma	32	0.1%	65.9%
8895/3: Myosarcoma	55	0.1%	66.0%
8896/3: Myxoid leiomyosarcoma	92	0.2%	66.2%
8897/3: Malignant tumor of smooth muscle	1	0.0%	66.2%
8900/3: Rhabdomyosarcoma, NOS	411	0.7%	66.9%
8901/3: Pleomorphic rhabdomyosarcoma, adult type	300	0.5%	67.4%
8902/3: Mixed type rhabdomyosarcoma	7	0.0%	67.4%
